name,currency,price,Boat REF,Length,Year,Construction,Underwater profile,Sleeping berths,Engine,Lying
Javelin Javelin 18 Sports Sailing Dinghy Sports Sailing Dinghy With Spinnaker,GBP,2995.00,255367,5.40,2000,GRP,Lifting Keel,,,Chelmsford
Sunspeed 24,GBP,2995.00,250522,7.40,1980,GRP,Long Keel,4,1 x diesel 8hp/ Yanmar (1980),North Devon
Beneteau Oceanis 46.1,,,316653,,,,,,,
Gaff Rigged Cutter,GBP,2950.00,301702,9.10,1965,Wood,Long Keel,4,1 x diesel 10hp/ Saab (1965),Essex
Beneteau Oceanis 54,,,316471,,,,,,,
With 13.5 Modern Classic,GBP,2850.00,313722,4.15,1975,GRP,Planing,,1 x gas 2 stroke 25hp/ Mariner 25 (unknown year),taverham
Elan Impression 45.1,,,316607,,,,,,,
Jeanneau Sun Odyssey 519,,,316447,,,,,,,
Jaguar 21 Lifting Keel,GBP,2750.00,312740,6.50,unknown year,GRP,Lifting Keel,4,1 x gasoline 4hp/ Yamaha 4-stroke (2021), Essex
Broom Scorpio  Deluxe MK 2,GBP,2650.00,320435,4.57,1968,GRP,Planing,,1 x gas 2 stroke 8hp/ Suzuki 8hp 2T (1989),Brundall/ Norfolk
Beneteau Oceanis 46,USD,299900.00,313505,14.02,2012,GRP,Fin,6,1 x diesel 75hp/ Yanmar 4JH4-TE (2012),Poulsbo WA
Beneteau Oceanis 45,,,316372,,,,,,,
Zar Rib 9 - New Boat,GBP,2540.00,317503,2.70,2022,Rubber,Planing,,1 x gasoline 5hp/ Honda (2022),Suffolk
Hanse 418,,,316573,,,,,,,
Pegasus 700 Lifting Keel,GBP,2500.00,313334,7.00,1982,GRP,Lifting Keel,4,1 x gasoline 6hp/ Suzuki (2006),Essex 
Zar Rib 8 Aluminium Hull,GBP,2495.00,307611,2.40,2021,Aluminium,Planing,,1 x gasoline 4hp/ Mercury F4M  (2022),Suffolk
Dehler 38 SQ,,,316645,,,,,,,
Lagoon 380,,,316334,,,,,,,
Zodiac CFR 340 Acti-v Series Z11409,GBP,2250.00,306010,3.40,1994,Rubber,Planing,,1 x gasoline 9.9hp/ Mercury (2016),West Yorkshire
Hunter Liberty 22 LIFTING KEEL,GBP,2200.00,301030,6.80,1983,GRP,Lifting Keel,3,1 x gasoline 5hp/ Tohatsu (2016),Cardiff
Bavaria 46 Cruiser,,,316510,,,,,,,
Schionning Cosmos 1320,EUR,275000.00,315162,320.00,2005,Composite,Multihull,6,2 x diesel 30hp/ Yanmar 3GM 30F (2015),Langkawi
Bavaria 45 Cruiser,,,316634,,,,,,,
Beneteau Oceanis 46.1,,,317665,,,,,,,
